DAT;LAT;LON;SPD;Metr
2018.08.11 09:44:56;46.304581;44.304523;0,0;0
2018.08.11 09:45:03;46.304482;44.304489;5,8;11
2018.08.11 09:45:12;46.304394;44.304432;4,3;22
2018.08.11 09:45:20;46.304291;44.304417;5,2;34
2018.08.11 09:45:27;46.304199;44.304382;5,4;44
2018.08.11 09:45:33;46.304104;44.304348;6,5;55
2018.08.11 09:45:41;46.304001;44.30431;5,3;67
2018.08.11 09:45:48;46.303902;44.304325;5,7;78
2018.08.11 09:45:55;46.30381;44.304302;5,3;88
2018.08.11 09:46:02;46.303753;44.304184;5,7;99
2018.08.11 09:46:12;46.303692;44.30407;4,0;110
2018.08.11 09:46:21;46.303619;44.303982;4,2;121
2018.08.11 09:46:30;46.303543;44.303898;4,2;132
2018.08.11 09:46:37;46.303505;44.303776;5,3;142
2018.08.11 09:46:44;46.303474;44.303638;5,7;153
2018.08.11 09:46:51;46.303432;44.30352;5,2;163
2018.08.11 09:47:00;46.303383;44.303413;3,9;173
2018.08.11 09:47:09;46.303329;44.303299;4,2;184
2018.08.11 09:47:17;46.30328;44.303173;5,0;195
2018.08.11 09:47:24;46.303246;44.303047;5,3;205
2018.08.11 09:47:31;46.303246;44.302898;5,9;216
2018.08.11 09:47:39;46.303196;44.302788;4,5;227
2018.08.11 09:47:48;46.303104;44.302753;4,2;237
2018.08.11 09:47:57;46.303005;44.302761;4,4;248
2018.08.11 09:48:05;46.302917;44.302731;4,5;258
2018.08.11 09:48:13;46.30283;44.302689;4,6;268
2018.08.11 09:48:21;46.302738;44.302677;4,6;279
2018.08.11 09:48:30;46.302643;44.30262;4,6;290
2018.08.11 09:48:39;46.302551;44.302559;4,5;301
2018.08.11 09:48:48;46.30246;44.302502;4,4;312
2018.08.11 09:48:57;46.302368;44.302444;4,5;324
2018.08.11 09:49:05;46.302284;44.302383;4,7;334
2018.08.11 09:49:13;46.3022;44.302338;4,5;344
2018.08.11 09:49:22;46.302109;44.302277;4,5;355
2018.08.11 09:49:30;46.302025;44.302212;4,8;366
2018.08.11 09:49:39;46.301941;44.302139;4,4;377
2018.08.11 09:49:48;46.301853;44.302078;4,3;387
