DAT;LAT;LON;SPD;Metr
2018.07.11 04:47:05;60.150761;24.667366;0,0;0
2018.07.11 04:47:10;60.150818;24.667215;7,5;10
2018.07.11 04:47:14;60.150883;24.667046;10,6;22
2018.07.11 04:47:18;60.150948;24.666878;10,6;34
2018.07.11 04:47:22;60.151001;24.666695;10,5;46
2018.07.11 04:47:26;60.151066;24.666517;11,0;58
2018.07.11 04:47:30;60.151123;24.666338;10,6;70
2018.07.11 04:47:34;60.15118;24.666161;10,5;81
2018.07.11 04:47:38;60.151234;24.665983;10,4;93
2018.07.11 04:47:42;60.151226;24.665787;9,8;104
2018.07.11 04:47:47;60.151249;24.6656;7,7;114
2018.07.11 04:47:54;60.151192;24.665401;6,5;127
2018.07.11 04:47:57;60.151104;24.665318;13,0;138
2018.07.11 04:48:00;60.151012;24.665337;12,3;148
2018.07.11 04:48:04;60.150906;24.665421;11,4;161
2018.07.11 04:48:08;60.150795;24.665485;11,5;174
2018.07.11 04:48:12;60.150692;24.665541;10,7;186
2018.07.11 04:48:16;60.150585;24.665581;10,9;198
2018.07.11 04:48:20;60.150478;24.665609;10,8;210
2018.07.11 04:48:24;60.150375;24.665632;10,4;221
2018.07.11 04:48:28;60.150272;24.665653;10,4;233
2018.07.11 04:48:32;60.150166;24.665718;11,1;245
2018.07.11 04:48:36;60.150059;24.665808;11,6;258
2018.07.11 04:48:40;60.149952;24.665874;11,2;270
2018.07.11 04:48:44;60.149853;24.665926;10,2;282
2018.07.11 04:48:48;60.149761;24.665979;9,6;292
2018.07.11 04:48:52;60.14967;24.666033;9,5;303
2018.07.11 04:48:56;60.149582;24.666082;9,1;313
2018.07.11 04:49:01;60.149475;24.666155;9,0;326
2018.07.11 04:49:05;60.149391;24.666216;8,9;335
2018.07.11 04:49:09;60.149303;24.666292;9,6;346
2018.07.11 04:49:13;60.149204;24.666344;10,2;357
2018.07.11 04:49:17;60.149109;24.66643;10,4;369
2018.07.11 04:49:21;60.149017;24.666521;10,3;380
2018.07.11 04:49:25;60.148926;24.666611;10,1;392
2018.07.11 04:49:29;60.148823;24.666679;10,8;404
2018.07.11 04:49:33;60.148724;24.666754;10,6;416
2018.07.11 04:49:37;60.148632;24.666832;10,0;427
2018.07.11 04:49:41;60.148544;24.666916;9,7;437
2018.07.11 04:49:45;60.14846;24.667015;9,7;448
2018.07.11 04:49:49;60.148373;24.667124;10,3;460
2018.07.11 04:49:53;60.148289;24.66724;10,2;471
2018.07.11 04:49:57;60.148205;24.667362;10,4;483
2018.07.11 04:50:01;60.148117;24.667484;10,7;494
2018.07.11 04:50:05;60.148029;24.667608;10,7;506
2018.07.11 04:50:09;60.147949;24.667734;10,2;518
2018.07.11 04:50:13;60.147865;24.66787;10,8;530
2018.07.11 04:50:17;60.147785;24.668015;10,8;542
2018.07.11 04:50:21;60.147724;24.668184;10,4;553
2018.07.11 04:50:25;60.147671;24.66836;10,2;565
2018.07.11 04:50:29;60.147606;24.668512;10,0;576
2018.07.11 04:50:33;60.147541;24.668659;9,8;586
2018.07.11 04:50:37;60.147472;24.668816;10,4;598
2018.07.11 04:50:41;60.147408;24.668985;10,6;610
2018.07.11 04:50:45;60.147339;24.669147;10,6;622
2018.07.11 04:50:49;60.147255;24.669287;10,9;634
2018.07.11 04:50:53;60.147179;24.669449;11,1;646
2018.07.11 04:50:57;60.147106;24.669619;11,2;658
2018.07.11 04:51:01;60.147049;24.669794;10,4;670
2018.07.11 04:51:05;60.146984;24.669968;10,8;682
2018.07.11 04:51:09;60.146919;24.670147;11,0;694
2018.07.11 04:51:13;60.146858;24.67033;11,0;706
2018.07.11 04:51:17;60.146782;24.670504;11,5;719
2018.07.11 04:51:21;60.146713;24.670662;10,5;731
2018.07.11 04:51:25;60.146641;24.670807;10,2;742
2018.07.11 04:51:29;60.14658;24.670946;9,2;752
2018.07.11 04:51:34;60.146519;24.671082;7,3;763
2018.07.11 04:51:49;60.146458;24.671272;3,0;775
2018.07.11 04:51:52;60.146404;24.671432;12,8;786
2018.07.11 04:51:55;60.146343;24.671576;12,5;796
2018.07.11 04:51:59;60.146259;24.671701;10,5;808
2018.07.11 04:52:03;60.146187;24.671835;9,8;819
2018.07.11 04:52:07;60.146114;24.672001;11,0;831
2018.07.11 04:52:11;60.146034;24.672165;11,4;844
2018.07.11 04:52:14;60.145969;24.672295;12,2;854
2018.07.11 04:52:18;60.145882;24.672443;11,4;867
2018.07.11 04:52:22;60.145798;24.672567;10,4;878
2018.07.11 04:52:26;60.145714;24.672684;10,2;890
2018.07.11 04:52:30;60.145638;24.672794;9,4;900
2018.07.11 04:52:34;60.145554;24.672888;9,6;911
2018.07.11 04:52:38;60.145466;24.673002;10,5;922
2018.07.11 04:52:42;60.145386;24.673103;9,4;933
2018.07.11 04:52:46;60.145309;24.673218;9,6;943
2018.07.11 04:52:50;60.145229;24.673313;9,3;954
2018.07.11 04:52:54;60.145142;24.673418;10,1;965
2018.07.11 04:52:58;60.145058;24.673517;9,7;976
2018.07.11 04:53:02;60.14497;24.673603;9,8;987
2018.07.11 04:53:06;60.144886;24.673695;9,6;997
2018.07.11 04:53:10;60.144802;24.673773;9,3;1008
2018.07.11 04:53:14;60.144714;24.67387;10,0;1019
2018.07.11 04:53:18;60.144623;24.673983;10,7;1031
2018.07.11 04:53:22;60.144531;24.674082;10,4;1042
2018.07.11 04:53:26;60.144444;24.674196;10,4;1054
2018.07.11 04:53:30;60.14436;24.674276;9,3;1064
2018.07.11 04:53:34;60.144279;24.67437;9,4;1075
2018.07.11 04:53:38;60.144203;24.674488;9,6;1085
2018.07.11 04:53:42;60.144123;24.674612;10,1;1096
2018.07.11 04:53:46;60.144039;24.674717;9,9;1107
2018.07.11 04:53:50;60.143959;24.67481;9,2;1118
2018.07.11 04:53:57;60.143864;24.674837;5,5;1128
2018.07.11 04:54:03;60.143784;24.674913;5,9;1138
2018.07.11 04:54:07;60.143692;24.675045;11,3;1151
2018.07.11 04:54:11;60.14362;24.675226;11,5;1164
2018.07.11 04:54:15;60.14352;24.675341;11,5;1176
2018.07.11 04:54:19;60.143425;24.675449;10,9;1189
2018.07.11 04:54:23;60.143333;24.675585;11,4;1201
2018.07.11 04:54:27;60.14325;24.675718;10,6;1213
2018.07.11 04:54:31;60.143158;24.675856;11,5;1226
2018.07.11 04:54:34;60.143082;24.675953;12,0;1236
2018.07.11 04:54:37;60.143005;24.676048;12,0;1246
2018.07.11 04:54:41;60.142906;24.676167;11,5;1259
2018.07.11 04:54:45;60.142815;24.676252;10,0;1270
2018.07.11 04:54:49;60.142719;24.676348;10,7;1282
2018.07.11 04:54:53;60.142624;24.676443;10,6;1293
2018.07.11 04:54:57;60.142525;24.676561;11,5;1306
2018.07.11 04:55:01;60.142418;24.676626;11,2;1319
2018.07.11 04:55:04;60.142323;24.676613;12,7;1329
2018.07.11 04:55:07;60.14222;24.676609;13,7;1341
2018.07.11 04:55:10;60.14212;24.676603;13,3;1352
2018.07.11 04:55:13;60.142029;24.676588;12,2;1362
2018.07.11 04:55:17;60.141918;24.676579;11,1;1374
2018.07.11 04:55:20;60.141827;24.676632;12,6;1385
2018.07.11 04:55:24;60.141727;24.676685;10,3;1396
2018.07.11 04:55:29;60.141792;24.676828;7,7;1407
2018.07.11 04:55:32;60.141872;24.676941;13,0;1418
2018.07.11 04:55:39;60.141918;24.677118;5,7;1429
2018.07.11 04:55:42;60.14188;24.677313;13,9;1441
2018.07.11 04:55:46;60.141777;24.677359;10,6;1452
2018.07.11 04:55:50;60.141674;24.677429;10,9;1464
2018.07.11 04:55:54;60.141571;24.677475;10,6;1476
2018.07.11 04:55:58;60.141476;24.677511;9,7;1487
2018.07.11 04:56:02;60.141384;24.677517;9,2;1497
2018.07.11 04:56:06;60.141285;24.677547;10,0;1508
2018.07.11 04:56:10;60.141186;24.67757;10,0;1519
2018.07.11 04:56:14;60.141083;24.677572;10,3;1531
2018.07.11 04:56:18;60.140972;24.677591;11,1;1543
2018.07.11 04:56:22;60.140862;24.677614;11,1;1555
2018.07.11 04:56:26;60.140762;24.677599;10,0;1566
2018.07.11 04:56:30;60.140648;24.677599;11,4;1579
2018.07.11 04:56:34;60.140545;24.677588;10,3;1591
2018.07.11 04:56:38;60.140396;24.67757;14,9;1607
2018.07.11 04:56:42;60.140278;24.677557;11,8;1620
2018.07.11 04:56:47;60.140179;24.677517;8,1;1632
2018.07.11 04:56:52;60.140038;24.677513;11,3;1647
2018.07.11 04:56:56;60.139923;24.67749;11,6;1660
2018.07.11 04:57:00;60.139812;24.677462;11,2;1672
2018.07.11 04:57:04;60.139706;24.677443;10,6;1684
2018.07.11 04:57:08;60.139614;24.677433;9,2;1695
2018.07.11 04:57:12;60.139519;24.677408;9,6;1705
2018.07.11 04:57:16;60.139412;24.677393;10,7;1717
2018.07.11 04:57:20;60.139309;24.677359;10,4;1729
2018.07.11 04:57:24;60.139206;24.677349;10,3;1740
2018.07.11 04:57:28;60.139091;24.677341;11,5;1753
2018.07.11 04:57:33;60.138947;24.677387;11,7;1769
2018.07.11 04:57:37;60.138855;24.677494;10,6;1781
2018.07.11 04:57:41;60.138737;24.677538;12,0;1794
2018.07.11 04:57:45;60.138641;24.677593;10,0;1805
2018.07.11 04:57:49;60.138557;24.677673;9,3;1816
2018.07.11 04:57:53;60.138477;24.677782;9,7;1826
2018.07.11 04:57:57;60.138382;24.67765;11,6;1839
2018.07.11 04:58:00;60.138355;24.677433;14,8;1852
2018.07.11 04:58:03;60.138313;24.677233;14,4;1864
2018.07.11 04:58:07;60.138256;24.677069;10,0;1875
2018.07.11 04:58:11;60.138222;24.676899;9,1;1885
2018.07.11 04:58:15;60.138138;24.676836;9,0;1895
2018.07.11 04:58:19;60.138046;24.676945;10,7;1907
2018.07.11 04:58:23;60.137959;24.677052;10,2;1918
2018.07.11 04:58:27;60.137859;24.677164;11,4;1931
2018.07.11 04:58:31;60.137753;24.677258;11,6;1944
2018.07.11 04:58:34;60.137672;24.677353;12,5;1954
2018.07.11 04:58:37;60.137596;24.677444;11,8;1964
2018.07.11 04:58:41;60.137497;24.677557;11,4;1977
2018.07.11 04:58:45;60.137394;24.677666;11,6;1989
2018.07.11 04:58:49;60.137287;24.677748;11,5;2002
2018.07.11 04:58:53;60.137177;24.677828;11,7;2015
2018.07.11 04:58:57;60.13707;24.677904;11,3;2028
2018.07.11 04:59:01;60.136967;24.67798;11,0;2040
2018.07.11 04:59:05;60.136868;24.678072;10,9;2052
2018.07.11 04:59:08;60.136795;24.678183;12,2;2062
2018.07.11 04:59:12;60.136688;24.67831;12,4;2076
2018.07.11 04:59:15;60.136612;24.678425;12,7;2087
2018.07.11 04:59:18;60.136528;24.678545;13,7;2098
2018.07.11 04:59:21;60.136452;24.678644;12,1;2108
2018.07.11 04:59:24;60.136375;24.678745;12,3;2118
2018.07.11 04:59:28;60.136276;24.678869;11,7;2131
2018.07.11 04:59:32;60.136177;24.678965;11,0;2144
2018.07.11 04:59:36;60.136078;24.679102;12,0;2157
2018.07.11 04:59:40;60.13599;24.67926;11,8;2170
2018.07.11 04:59:44;60.135921;24.679426;10,8;2182
2018.07.11 04:59:48;60.135838;24.679567;10,9;2194
2018.07.11 04:59:52;60.135746;24.679699;11,3;2207
2018.07.11 04:59:56;60.135647;24.679829;11,8;2220
2018.07.11 04:59:59;60.135574;24.679945;12,4;2230
2018.07.11 05:00:03;60.135487;24.680098;11,6;2243
2018.07.11 05:00:07;60.135391;24.680218;11,3;2256
2018.07.11 05:00:11;60.135288;24.680342;12,0;2269
2018.07.11 05:00:14;60.135208;24.680429;12,1;2279
2018.07.11 05:00:18;60.135109;24.680548;11,5;2292
2018.07.11 05:00:22;60.135006;24.680635;11,2;2304
2018.07.11 05:00:26;60.134903;24.68071;11,0;2316
2018.07.11 05:00:30;60.134804;24.680796;10,8;2328
2018.07.11 05:00:34;60.134701;24.680872;11,0;2341
2018.07.11 05:00:38;60.134602;24.680944;10,5;2352
2018.07.11 05:00:42;60.134502;24.681028;10,8;2364
2018.07.11 05:00:46;60.134407;24.681099;10,1;2376
2018.07.11 05:00:50;60.134304;24.681158;10,7;2388
2018.07.11 05:00:55;60.134174;24.681213;10,6;2402
2018.07.11 05:00:59;60.134068;24.68125;10,8;2414
2018.07.11 05:01:03;60.133968;24.681265;10,0;2425
2018.07.11 05:01:07;60.133865;24.681286;10,4;2437
2018.07.11 05:01:11;60.133759;24.681301;10,6;2449
2018.07.11 05:01:15;60.133656;24.681314;10,3;2460
