DAT;LAT;LON;SPD;Metr
2018.09.19 04:53:52;46.30238;44.312424;0,0;0
2018.09.19 04:54:00;46.302353;44.312588;5,8;13
2018.09.19 04:54:03;46.302326;44.312721;12,8;24
2018.09.19 04:54:07;46.302307;44.312885;11,5;36
2018.09.19 04:54:11;46.302269;44.313034;11,0;49
2018.09.19 04:54:15;46.302227;44.313175;10,6;60
2018.09.19 04:54:19;46.302204;44.313324;10,5;72
2018.09.19 04:54:23;46.302162;44.313473;11,1;84
2018.09.19 04:54:27;46.302124;44.313633;11,7;97
2018.09.19 04:54:31;46.302097;44.313789;11,1;110
2018.09.19 04:54:35;46.302063;44.313942;11,1;122
2018.09.19 04:54:39;46.302036;44.314098;11,1;134
2018.09.19 04:54:43;46.301998;44.31424;10,5;146
2018.09.19 04:54:47;46.301956;44.314377;10,4;158
2018.09.19 04:54:51;46.30191;44.314514;10,5;169
2018.09.19 04:54:55;46.301872;44.314671;11,5;182
2018.09.19 04:54:59;46.301826;44.314816;11,0;194
2018.09.19 04:55:03;46.301815;44.31496;10,0;205
2018.09.19 04:55:07;46.301781;44.315102;10,4;217
2018.09.19 04:55:11;46.301746;44.315231;9,6;228
2018.09.19 04:55:15;46.301701;44.315357;9,8;239
2018.09.19 04:55:19;46.301662;44.315495;10,3;250
2018.09.19 04:55:23;46.30162;44.315636;10,6;262
2018.09.19 04:55:29;46.301632;44.315765;6,0;272
2018.09.19 04:55:33;46.301727;44.315792;9,7;282
2018.09.19 04:55:37;46.301815;44.31583;9,2;293
2018.09.19 04:55:42;46.301891;44.315937;8,5;304
2018.09.19 04:55:46;46.301975;44.315987;9,1;315
2018.09.19 04:55:50;46.302063;44.316021;9,1;325
2018.09.19 04:55:55;46.30217;44.316055;8,8;337
2018.09.19 04:55:59;46.302265;44.31609;9,8;348
2018.09.19 04:56:04;46.302391;44.316124;10,3;362
2018.09.19 04:56:08;46.302494;44.316177;10,9;374
2018.09.19 04:56:12;46.302586;44.316231;9,9;385
2018.09.19 04:56:16;46.30267;44.316277;9,0;395
2018.09.19 04:56:20;46.302776;44.316307;10,8;407
2018.09.19 04:56:25;46.302868;44.316391;8,7;419
2018.09.19 04:56:29;46.302959;44.316429;9,5;430
2018.09.19 04:56:33;46.303055;44.316467;10,0;441
2018.09.19 04:56:38;46.303162;44.316513;8,9;453
2018.09.19 04:56:42;46.303253;44.316555;9,6;464
2018.09.19 04:56:46;46.303349;44.31657;9,7;475
2018.09.19 04:56:51;46.303448;44.316643;8,9;487
2018.09.19 04:56:55;46.303535;44.3167;9,5;498
2018.09.19 04:57:00;46.303627;44.316788;8,8;510
2018.09.19 04:57:05;46.303722;44.316849;8,3;521
2018.09.19 04:57:09;46.30381;44.316895;9,4;532
2018.09.19 04:57:13;46.303898;44.31694;9,3;542
2018.09.19 04:57:17;46.303993;44.316978;9,9;553
2018.09.19 04:57:22;46.304092;44.317043;8,7;565
2018.09.19 04:57:27;46.304195;44.317089;8,6;577
2018.09.19 04:57:32;46.304291;44.317127;8,0;588
2018.09.19 04:57:37;46.304401;44.317165;9,0;601
2018.09.19 04:57:42;46.304497;44.317223;8,3;612
2018.09.19 04:57:47;46.304596;44.317268;8,3;624
2018.09.19 04:57:52;46.304691;44.317318;8,1;635
2018.09.19 04:57:57;46.304783;44.317387;8,3;647
2018.09.19 04:58:01;46.304878;44.317421;9,8;657
2018.09.19 04:58:05;46.304974;44.317467;10,1;669
2018.09.19 04:58:09;46.30508;44.317528;11,4;681
2018.09.19 04:58:13;46.305183;44.317585;11,0;694
2018.09.19 04:58:17;46.305275;44.317635;9,8;704
2018.09.19 04:58:22;46.305382;44.317684;9,0;717
2018.09.19 04:58:25;46.305466;44.317738;12,3;727
2018.09.19 04:58:28;46.30555;44.317795;12,4;737
2018.09.19 04:58:31;46.305634;44.317841;12,0;747
2018.09.19 04:58:35;46.30571;44.317936;10,0;759
2018.09.19 04:58:38;46.305679;44.318062;12,3;769
2018.09.19 04:58:42;46.305637;44.318222;11,8;782
2018.09.19 04:58:47;46.305599;44.318409;10,8;797
2018.09.19 04:58:50;46.305569;44.318539;12,6;808
2018.09.19 04:58:53;46.305534;44.318661;12,2;818
2018.09.19 04:58:57;46.305496;44.318817;11,4;830
2018.09.19 04:59:01;46.305458;44.318966;11,0;843
2018.09.19 04:59:05;46.305424;44.319103;10,1;854
2018.09.19 04:59:09;46.305389;44.319248;10,6;865
2018.09.19 04:59:13;46.305363;44.319401;10,9;878
2018.09.19 04:59:17;46.305351;44.31955;10,4;889
2018.09.19 04:59:21;46.305332;44.319687;9,7;900
2018.09.19 04:59:25;46.305317;44.319824;9,6;910
2018.09.19 04:59:29;46.30529;44.319958;9,6;921
2018.09.19 04:59:33;46.305271;44.320091;9,4;932
2018.09.19 04:59:37;46.305237;44.320221;9,6;942
2018.09.19 04:59:42;46.305187;44.320389;10,1;956
2018.09.19 04:59:46;46.305157;44.320526;9,9;967
2018.09.19 04:59:50;46.305122;44.320667;10,4;979
2018.09.19 04:59:54;46.305111;44.320812;10,1;990
2018.09.19 04:59:58;46.305119;44.320965;10,6;1002
2018.09.19 05:00:02;46.305088;44.321121;11,2;1014
2018.09.19 05:00:06;46.30505;44.32127;11,0;1026
2018.09.19 05:00:10;46.305008;44.321415;10,9;1039
2018.09.19 05:00:14;46.30497;44.32156;10,7;1050
2018.09.19 05:00:18;46.304935;44.321705;10,6;1062
2018.09.19 05:00:22;46.304901;44.321846;10,3;1074
2018.09.19 05:00:26;46.304863;44.32198;10,0;1085
2018.09.19 05:00:30;46.304817;44.322113;10,3;1096
2018.09.19 05:00:34;46.304775;44.322243;9,9;1107
2018.09.19 05:00:39;46.304756;44.322422;10,0;1121
2018.09.19 05:00:43;46.304733;44.322563;10,0;1132
2018.09.19 05:00:48;46.304714;44.322746;10,2;1146
2018.09.19 05:00:52;46.304707;44.322895;10,3;1158
2018.09.19 05:00:56;46.304768;44.323006;9,8;1169
2018.09.19 05:01:00;46.304832;44.323112;9,7;1180
2018.09.19 05:01:04;46.304852;44.32325;9,7;1190
2018.09.19 05:01:09;46.304871;44.323395;8,2;1202
2018.09.19 05:01:13;46.304882;44.323528;9,3;1212
2018.09.19 05:01:17;46.304886;44.323662;9,3;1222
2018.09.19 05:01:21;46.304897;44.323799;9,5;1233
2018.09.19 05:01:25;46.304935;44.323921;9,2;1243
2018.09.19 05:01:29;46.305012;44.324013;10,0;1254
2018.09.19 05:01:33;46.305107;44.324055;9,9;1265
2018.09.19 05:01:38;46.305202;44.324081;7,7;1276
2018.09.19 05:01:43;46.305298;44.324112;7,9;1287
2018.09.19 05:01:48;46.305401;44.324139;8,4;1299
2018.09.19 05:01:52;46.305492;44.324162;9,2;1309
2018.09.19 05:01:57;46.305603;44.324207;9,2;1322
2018.09.19 05:02:01;46.305683;44.324272;9,2;1332
2018.09.19 05:02:06;46.305756;44.32439;8,8;1344
2018.09.19 05:02:10;46.305756;44.324528;9,5;1355
2018.09.19 05:02:14;46.305737;44.324669;9,9;1366
2018.09.19 05:02:18;46.305717;44.32481;9,9;1377
2018.09.19 05:02:22;46.30571;44.324951;9,8;1388
2018.09.19 05:02:27;46.305698;44.32513;9,9;1401
2018.09.19 05:02:31;46.305679;44.325268;9,7;1412
2018.09.19 05:02:35;46.30566;44.325401;9,4;1423
2018.09.19 05:02:39;46.305645;44.325535;9,4;1433
2018.09.19 05:02:43;46.305634;44.325668;9,3;1443
2018.09.19 05:02:47;46.305618;44.325806;9,7;1454
2018.09.19 05:02:51;46.305607;44.325943;9,5;1465
2018.09.19 05:02:55;46.305592;44.326073;9,1;1475
2018.09.19 05:02:59;46.30558;44.32621;9,5;1485
2018.09.19 05:03:03;46.305569;44.32634;9,0;1495
2018.09.19 05:03:08;46.305553;44.3265;8,9;1508
2018.09.19 05:03:12;46.305542;44.326633;9,3;1518
2018.09.19 05:03:16;46.305531;44.326767;9,3;1528
2018.09.19 05:03:20;46.305519;44.326904;9,5;1539
2018.09.19 05:03:25;46.305508;44.32708;9,8;1553
2018.09.19 05:03:29;46.305504;44.327225;10,0;1564
