DAT;LAT;LON;SPD;Metr
2022-05-21 17:1;46.30902475;44.26973141;0;0
2022-05-21 17:1;46.30912411;44.26972778;5.0;11
2022-05-21 17:1;46.30921546;44.26972559;4.6;21
2022-05-21 17:1;46.30931703;44.26970823;4.1;33
2022-05-21 17:1;46.30938806;44.2696032;5.1;44
2022-05-21 17:1;46.30947058;44.269535;6.3;54
2022-05-21 17:1;46.30956803;44.26947499;7.1;66
2022-05-21 17:1;46.30966653;44.26948793;6.6;77
2022-05-21 17:1;46.30977187;44.26948237;8.4;89
2022-05-21 17:1;46.30986466;44.26943549;7.9;100
2022-05-21 17:1;46.30997209;44.26942478;8.6;112
2022-05-21 17:1;46.31007072;44.2694092;2.0;123
2022-05-21 17:1;46.31016758;44.26939583;4.9;134
2022-05-21 17:1;46.31026263;44.26937071;4.8;144
2022-05-21 17:1;46.31035429;44.2693474;6.2;155
2022-05-21 17:1;46.31044153;44.26930616;6.1;165
2022-05-21 17:1;46.31053518;44.26930027;6.3;175
2022-05-21 17:1;46.3106179;44.26923611;4.2;186
2022-05-21 17:1;46.31070749;44.2691863;5.5;197
2022-05-21 17:1;46.31079739;44.26913053;5.6;207
2022-05-21 17:1;46.31090052;44.26912471;5.9;219
2022-05-21 17:1;46.31099435;44.26911597;5.4;229
2022-05-21 17:1;46.31109564;44.26909115;6.9;241
2022-05-21 17:1;46.31119442;44.26905696;5.1;252
2022-05-21 17:1;46.31128503;44.26904182;5.2;262
2022-05-21 17:1;46.31137028;44.26894406;7.3;274
2022-05-21 17:1;46.311459;44.26887149;8.2;286
2022-05-21 17:1;46.31154884;44.26884742;6.1;296
2022-05-21 17:1;46.31164181;44.26887696;9.5;306
2022-05-21 17:1;46.31173587;44.2688645;5.4;317
2022-05-21 17:1;46.31182676;44.26884232;4.6;327
2022-05-21 17:1;46.3119126;44.26877681;4.3;338
2022-05-21 17:1;46.31200077;44.26880732;4.5;348
2022-05-21 17:1;46.31209396;44.26876874;5.5;359
2022-05-21 17:1;46.31219408;44.26875176;5.8;370
2022-05-21 17:1;46.31228382;44.26873741;7.2;380
2022-05-21 17:1;46.31237195;44.26866563;5.1;391
2022-05-21 17:2;46.31247664;44.26866421;5.2;403
2022-05-21 17:2;46.31256473;44.26862981;5.2;413
2022-05-21 17:2;46.31266577;44.26859041;7.0;425
2022-05-21 17:2;46.31275709;44.26853785;6.6;436
2022-05-21 17:2;46.31285125;44.26849532;4.9;447
2022-05-21 17:2;46.31294286;44.26847503;6.2;457
2022-05-21 17:2;46.31303868;44.26843835;5.7;468
2022-05-21 17:2;46.31312808;44.26841977;7.2;478
2022-05-21 17:2;46.31322705;44.26838577;5.8;489
2022-05-21 17:2;46.31332055;44.26837406;6.3;500
2022-05-21 17:2;46.31341785;44.26832214;5.2;511
2022-05-21 17:2;46.31351319;44.26826344;5.9;523
2022-05-21 17:2;46.3136108;44.26821358;5.2;534
2022-05-21 17:2;46.31369859;44.26818392;6.0;544
2022-05-21 17:2;46.31378931;44.26816073;6.1;554
2022-05-21 17:2;46.31387804;44.26810474;6.5;565
2022-05-21 17:2;46.31397474;44.26809503;5.5;576
2022-05-21 17:2;46.31406046;44.26805078;4.6;586
2022-05-21 17:2;46.31416291;44.26803268;5.9;598
