DAT;LAT;LON;SPD;Metr
2019.11.02 09:50:05;60.025864;30.312230;  0,0;      0
2019.11.02 09:51:06;60.025955;30.312234;  0,1;     10
2019.11.02 09:52:07;60.025945;30.312184;  0,0;     13
2019.11.02 09:53:08;60.025922;30.312245;  0,1;     17
2019.11.02 09:54:09;60.025799;30.312292;  0,0;     31
2019.11.02 09:54:24;60.025764;30.312319;  0,0;     35
2019.11.02 09:54:25;60.025762;30.312319;  0,0;     35
2019.11.02 09:54:27;60.025758;30.312321;  0,0;     35
2019.11.02 09:54:28;60.025756;30.312321;  0,0;     35
2019.11.02 09:54:29;60.025754;30.312322;  0,0;     35
2019.11.02 09:55:10;60.025745;30.312355;  0,0;     37
2019.11.02 09:56:02;60.025931;30.312614;  5,7;     62
2019.11.02 09:56:05;60.025955;30.312743; 10,8;     70
2019.11.02 09:56:11;60.026048;30.313323; 25,3;    104
2019.11.02 09:56:15;60.026131;30.313847; 27,8;    135
2019.11.02 09:56:19;60.026217;30.314397; 27,3;    167
2019.11.02 09:56:23;60.026282;30.314900; 24,8;    196
2019.11.02 09:56:28;60.026352;30.315479; 23,9;    229
2019.11.02 09:56:33;60.026470;30.316050; 23,8;    263
2019.11.02 09:56:39;60.026508;30.316478; 10,8;    287
2019.11.02 09:56:41;60.026548;30.316606; 15,7;    295
2019.11.02 09:56:47;60.026634;30.317003;  8,9;    319
2019.11.02 09:56:49;60.026653;30.317095; 10,7;    325
2019.11.02 09:56:50;60.026662;30.317152; 11,9;    328
2019.11.02 09:56:54;60.026697;30.317415; 11,9;    343
2019.11.02 09:56:55;60.026702;30.317455;  8,4;    345
2019.11.02 09:56:56;60.026701;30.317510;  9,9;    348
2019.11.02 09:56:58;60.026699;30.317671; 16,8;    357
2019.11.02 09:57:03;60.026767;30.318163; 21,8;    385
2019.11.02 09:57:04;60.026777;30.318284; 22,3;    392
2019.11.02 09:57:08;60.026821;30.318640; 10,8;    412
2019.11.02 09:57:12;60.026818;30.318693;  0,0;    415
2019.11.02 09:57:32;60.026821;30.318749;  7,7;    418
2019.11.02 09:57:33;60.026829;30.318801; 13,5;    421
2019.11.02 09:57:34;60.026846;30.318872; 18,0;    425
2019.11.02 09:57:35;60.026878;30.318936; 18,8;    430
2019.11.02 09:57:36;60.026913;30.318990; 17,2;    435
2019.11.02 09:57:37;60.026973;30.319031; 23,9;    442
2019.11.02 09:57:38;60.027038;30.319063; 28,1;    449
2019.11.02 09:57:41;60.027283;30.319155; 36,8;    477
2019.11.02 09:57:45;60.027676;30.319321; 42,9;    522
2019.11.02 09:57:50;60.028132;30.319457; 35,0;    573
2019.11.02 09:57:55;60.028559;30.319584; 33,7;    621
2019.11.02 09:58:00;60.028960;30.319705; 30,2;    666
2019.11.02 09:58:06;60.029383;30.319822; 28,4;    714
2019.11.02 09:58:08;60.029514;30.319902; 27,4;    729
2019.11.02 09:58:09;60.029562;30.319994; 27,9;    736
2019.11.02 09:58:10;60.029603;30.320106; 29,0;    744
2019.11.02 09:58:11;60.029584;30.320208; 20,1;    750
2019.11.02 09:58:13;60.029520;30.320360; 17,0;    761
2019.11.02 09:58:14;60.029469;30.320413; 20,1;    767
2019.11.02 09:58:20;60.029063;30.320914; 38,8;    820
2019.11.02 09:58:25;60.028597;30.321473; 46,5;    880
2019.11.02 09:58:29;60.028151;30.322019; 53,4;    938
2019.11.02 09:58:33;60.027653;30.322598; 59,3;   1002
2019.11.02 09:58:36;60.027264;30.323073; 62,4;   1053
2019.11.02 09:58:39;60.026822;30.323556; 65,7;   1109
2019.11.02 09:58:42;60.026377;30.324052; 67,6;   1166
2019.11.02 09:58:45;60.025923;30.324557; 68,4;   1224
2019.11.02 09:58:48;60.025464;30.325062; 70,6;   1282
2019.11.02 09:58:51;60.024980;30.325583; 72,9;   1343
2019.11.02 09:58:54;60.024482;30.326125; 73,7;   1406
2019.11.02 09:58:57;60.024040;30.326691; 72,4;   1464
2019.11.02 09:59:00;60.023600;30.327259; 69,6;   1522
2019.11.02 09:59:03;60.023195;30.327775; 63,0;   1576
2019.11.02 09:59:06;60.022762;30.328267; 64,6;   1631
2019.11.02 09:59:09;60.022446;30.328845; 62,9;   1679
2019.11.02 09:59:12;60.022002;30.329503; 67,4;   1741
2019.11.02 09:59:14;60.021734;30.329954; 68,6;   1780
2019.11.02 09:59:15;60.021600;30.330185; 69,9;   1800
2019.11.02 09:59:18;60.021149;30.330901; 75,8;   1864
2019.11.02 09:59:21;60.020691;30.331635; 77,6;   1929
2019.11.02 09:59:24;60.020239;30.332370; 76,5;   1994
2019.11.02 09:59:27;60.019768;30.333061; 74,1;   2059
2019.11.02 09:59:30;60.019327;30.333711; 68,9;   2120
2019.11.02 09:59:33;60.018896;30.334339; 67,2;   2180
2019.11.02 09:59:36;60.018508;30.334943; 64,4;   2235
2019.11.02 09:59:39;60.018110;30.335541; 64,2;   2290
2019.11.02 09:59:42;60.017700;30.336123; 64,6;   2346
2019.11.02 09:59:45;60.017298;30.336710; 63,6;   2402
2019.11.02 09:59:48;60.016934;30.337224; 54,2;   2452
2019.11.02 09:59:49;60.016842;30.337351; 48,5;   2464
2019.11.02 10:00:15;60.016722;30.337678;  0,4;   2487
2019.11.02 10:00:17;60.016704;30.337705;  7,4;   2489
2019.11.02 10:00:18;60.016676;30.337730;  9,7;   2492
2019.11.02 10:00:24;60.016412;30.338173; 32,7;   2530
2019.11.02 10:00:25;60.016335;30.338282; 33,9;   2540
2019.11.02 10:00:29;60.015990;30.338791; 45,2;   2588
2019.11.02 10:00:33;60.015576;30.339423; 54,1;   2646
2019.11.02 10:00:36;60.015309;30.339964; 52,4;   2688
2019.11.02 10:00:39;60.014934;30.340540; 60,2;   2741
2019.11.02 10:00:42;60.014516;30.341125; 63,3;   2798
2019.11.02 10:00:45;60.014158;30.341702; 61,1;   2849
2019.11.02 10:00:48;60.013789;30.342275; 60,8;   2901
2019.11.02 10:00:51;60.013474;30.342758; 45,7;   2945
2019.11.02 10:00:52;60.013380;30.342856; 40,8;   2957
2019.11.02 10:00:53;60.013316;30.342922; 33,3;   2965
2019.11.02 10:00:54;60.013277;30.342955; 25,3;   2970
2019.11.02 10:01:16;60.013280;30.342930;  0,0;   2972
2019.11.02 10:01:29;60.013237;30.342989;  7,7;   2978
2019.11.02 10:01:31;60.013205;30.343095; 14,2;   2985
2019.11.02 10:01:33;60.013094;30.343237; 26,0;   3000
2019.11.02 10:01:35;60.012942;30.343432; 36,9;   3020
2019.11.02 10:01:39;60.012618;30.343960; 48,3;   3067
2019.11.02 10:01:43;60.012195;30.344641; 59,2;   3127
2019.11.02 10:01:46;60.011837;30.345210; 62,4;   3178
2019.11.02 10:01:49;60.011477;30.345801; 62,0;   3230
2019.11.02 10:01:52;60.011117;30.346371; 56,8;   3281
2019.11.02 10:01:55;60.010896;30.346723; 18,0;   3313
2019.11.02 10:02:17;60.010914;30.346755;  0,0;   3316
2019.11.02 10:02:49;60.010876;30.346751;  7,0;   3320
2019.11.02 10:02:52;60.010788;30.346899; 20,9;   3333
2019.11.02 10:02:58;60.010413;30.347526; 41,9;   3387
2019.11.02 10:03:02;60.010039;30.348180; 56,3;   3442
2019.11.02 10:03:05;60.009714;30.348750; 59,6;   3490
2019.11.02 10:03:08;60.009367;30.349375; 65,3;   3542
2019.11.02 10:03:11;60.008993;30.350047; 68,0;   3598
2019.11.02 10:03:14;60.008613;30.350732; 68,3;   3655
2019.11.02 10:03:17;60.008232;30.351416; 68,3;   3712
2019.11.02 10:03:18;60.008106;30.351640; 66,5;   3731
2019.11.02 10:03:20;60.007865;30.352072; 64,2;   3767
2019.11.02 10:03:23;60.007535;30.352703; 59,1;   3818
2019.11.02 10:03:26;60.007249;30.353221; 46,3;   3861
