DAT;LAT;LON;SPD;Metr
2019.11.01 18:00:20;59.956353;30.431655;  0,0;      0
2019.11.01 18:01:21;59.956353;30.431648;  0,0;      0
2019.11.01 18:02:04;59.956357;30.431648;  0,1;      0
2019.11.01 18:02:08;59.956362;30.431651;  0,0;      1
2019.11.01 18:02:22;59.956360;30.431652;  0,0;      1
2019.11.01 18:03:23;59.956388;30.431628;  0,3;      4
2019.11.01 18:03:37;59.956437;30.431743;  6,2;     12
2019.11.01 18:03:42;59.956448;30.431772;  7,1;     14
2019.11.01 18:03:43;59.956467;30.431779;  8,2;     16
2019.11.01 18:03:47;59.956624;30.431849; 18,2;     34
2019.11.01 18:03:48;59.956669;30.431842; 17,4;     39
2019.11.01 18:03:50;59.956758;30.431819; 16,2;     49
2019.11.01 18:03:52;59.956823;30.431740; 17,7;     57
2019.11.01 18:03:53;59.956838;30.431654; 19,1;     62
2019.11.01 18:03:55;59.956858;30.431485; 17,7;     72
2019.11.01 18:03:57;59.956862;30.431319; 17,1;     81
2019.11.01 18:04:00;59.956867;30.431087; 14,0;     94
2019.11.01 18:04:02;59.956888;30.430987;  8,6;    100
2019.11.01 18:04:24;59.956850;30.431115;  0,0;    108
2019.11.01 18:04:39;59.956891;30.431050;  9,4;    114
2019.11.01 18:04:40;59.956916;30.431036;  9,5;    117
2019.11.01 18:04:41;59.956945;30.431031; 11,1;    120
2019.11.01 18:04:43;59.957011;30.431040; 13,7;    127
2019.11.01 18:04:50;59.957289;30.431083; 17,8;    158
2019.11.01 18:05:00;59.957688;30.431138; 16,7;    203
2019.11.01 18:05:04;59.957874;30.431147; 17,5;    224
2019.11.01 18:05:05;59.957926;30.431111; 18,7;    230
2019.11.01 18:05:09;59.958118;30.431014; 21,2;    252
2019.11.01 18:05:12;59.958270;30.430987; 20,4;    269
2019.11.01 18:05:13;59.958325;30.430998; 21,6;    275
2019.11.01 18:05:17;59.958553;30.431063; 23,5;    301
2019.11.01 18:05:22;59.958778;30.431136; 16,5;    326
2019.11.01 18:05:24;59.958861;30.431108; 13,7;    335
2019.11.01 18:05:25;59.958904;30.431059; 15,3;    341
2019.11.01 18:05:26;59.958943;30.431028; 15,7;    346
2019.11.01 18:05:27;59.958975;30.430998; 15,4;    350
2019.11.01 18:05:29;59.958989;30.430928; 10,2;    354
2019.11.01 18:05:31;59.959007;30.430843;  8,6;    359
2019.11.01 18:05:41;59.959083;30.430522; 10,8;    379
2019.11.01 18:05:49;59.959236;30.429973; 14,2;    414
2019.11.01 18:05:50;59.959257;30.429923; 13,0;    418
2019.11.01 18:05:51;59.959272;30.429901;  9,1;    420
2019.11.01 18:05:55;59.959317;30.429786;  8,0;    428
2019.11.01 18:05:56;59.959326;30.429739;  9,3;    431
2019.11.01 18:05:57;59.959331;30.429680; 12,0;    434
2019.11.01 18:05:58;59.959332;30.429610; 14,8;    438
2019.11.01 18:06:00;59.959336;30.429457; 15,5;    447
2019.11.01 18:06:06;59.959321;30.429074;  9,2;    469
2019.11.01 18:06:11;59.959318;30.428943;  9,1;    476
2019.11.01 18:06:17;59.959261;30.428585; 12,5;    497
2019.11.01 18:06:18;59.959266;30.428535;  9,2;    500
2019.11.01 18:06:19;59.959272;30.428501;  6,8;    502
2019.11.01 18:06:24;59.959292;30.428460;  5,9;    505
2019.11.01 18:06:25;59.959332;30.428454; 12,2;    509
2019.11.01 18:06:26;59.959375;30.428442; 16,8;    514
2019.11.01 18:06:27;59.959423;30.428437; 18,3;    519
2019.11.01 18:06:29;59.959528;30.428431; 21,7;    531
2019.11.01 18:06:30;59.959583;30.428430; 21,2;    537
2019.11.01 18:06:31;59.959629;30.428412; 18,3;    542
2019.11.01 18:06:32;59.959663;30.428386; 13,4;    546
2019.11.01 18:06:45;59.959729;30.428315;  7,6;    554
2019.11.01 18:06:46;59.959750;30.428335; 10,3;    556
2019.11.01 18:06:47;59.959770;30.428384; 14,3;    560
2019.11.01 18:06:49;59.959804;30.428580; 22,9;    572
2019.11.01 18:06:52;59.959832;30.429025; 37,3;    597
2019.11.01 18:06:55;59.959856;30.429604; 39,6;    629
2019.11.01 18:06:58;59.959882;30.430177; 35,4;    661
2019.11.01 18:07:03;59.959903;30.430679;  5,2;    689
2019.11.01 18:07:27;59.959922;30.431148;  0,0;    715
2019.11.01 18:07:34;59.959922;30.431184;  3,1;    717
2019.11.01 18:07:35;59.959926;30.431204;  5,6;    718
2019.11.01 18:07:36;59.959934;30.431236;  8,7;    720
2019.11.01 18:07:37;59.959949;30.431273; 10,8;    723
2019.11.01 18:07:38;59.959975;30.431302; 13,0;    726
2019.11.01 18:07:39;59.960010;30.431317; 15,6;    730
2019.11.01 18:07:40;59.960050;30.431321; 15,9;    734
2019.11.01 18:07:45;59.960310;30.431293; 26,7;    763
2019.11.01 18:07:50;59.960731;30.431281; 37,3;    810
2019.11.01 18:07:52;59.960926;30.431280; 39,5;    832
